m	148	173	50	50	0	0	1200s	100	1	8005
m	266	263	50	50	0	0	1200s	100	1	8005
m	149	280	50	50	0	0	1200s	100	1	8005
m	175	503	50	50	0	0	1200s	100	1	8005
m	364	498	50	50	0	0	1200s	100	1	8005
m	397	625	50	50	0	0	1200s	100	1	8005
m	314	778	50	50	0	0	1200s	100	1	8005
m	463	684	50	50	0	0	1200s	100	1	8005
m	524	565	50	50	0	0	1200s	100	1	8005

m	284	502	50	50	0	0	1200s	100	1	8006
m	171	648	50	50	0	0	1200s	100	1	8006
m	242	852	50	50	0	0	1200s	100	1	8006
m	523	721	50	50	0	0	1200s	100	1	8006
m	595	653	50	50	0	0	1200s	100	1	8006
m	759	631	50	50	0	0	1200s	100	1	8006
m	690	471	50	50	0	0	1200s	100	1	8006
m	755	225	50	50	0	0	1200s	100	1	8006
m	470	183	50	50	0	0	1200s	100	1	8006

m	148	400	50	50	0	0	1200s	100	1	8007
m	241	773	50	50	0	0	1200s	100	1	8007
m	433	813	50	50	0	0	1200s	100	1	8007
m	684	767	50	50	0	0	1200s	100	1	8007
m	404	580	50	50	0	0	1200s	100	1	8007
m	801	411	50	50	0	0	1200s	100	1	8007
m	688	391	50	50	0	0	1200s	100	1	8007
m	631	236	50	50	0	0	1200s	100	1	8007
m	337	199	50	50	0	0	1200s	100	1	8007

r	502	209	100	100	0	0	600s	100	1	2002
r	482	210	100	100	0	0	600s	100	1	2002
r	590	239	100	100	0	0	600s	100	1	2002
r	876	319	100	100	0	0	600s	100	1	2002
r	330	584	100	100	0	0	600s	100	1	2002
r	309	599	100	100	0	0	600s	100	1	2002
r	348	623	100	100	0	0	600s	100	1	2002

